OTU,Kingdom,Phylum,Class,Order,Family,Genus,primary_lifestyle,Secondary_lifestyle,Endophytic_interaction_capability_template,Decay_substrate_template,Aquatic_habitat_template,Growth_form_template,Fruitbody_type_template,Hymenium_type_template
OTU_2467,Fungi,Basidiomycota,Agaricomycetes,Boletales,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_2877,Fungi,Basidiomycota,Agaricomycetes,Boletales,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_1371,Fungi,Basidiomycota,Agaricomycetes,Russulales,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_2949,Fungi,Basidiomycota,Agaricomycetes,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_21,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeria,litter_saprotroph,0,no_endophytic_capacity,leaf/fruit/seed,non-aquatic,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed
OTU_132,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeria,litter_saprotroph,0,no_endophytic_capacity,leaf/fruit/seed,non-aquatic,filamentous_mycelium,"perithecium_(hymenium_hidden,_narrow_opening)",closed
OTU_215,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,unspecified_saprotroph,0,foliar_endophyte,soil,partly_aquatic,filamentous_mycelium,0,0
OTU_320,Fungi,Ascomycota,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_341,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,unspecified_saprotroph,0,foliar_endophyte,soil,partly_aquatic,filamentous_mycelium,0,0
OTU_375,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,unspecified_saprotroph,0,foliar_endophyte,soil,partly_aquatic,filamentous_mycelium,0,0
OTU_423,Fungi,Ascomycota,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_501,Fungi,Ascomycota,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_509,Fungi,Ascomycota,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_616,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,unspecified_saprotroph,0,foliar_endophyte,soil,partly_aquatic,filamentous_mycelium,0,0
OTU_872,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_1014,Fungi,Ascomycota,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_1176,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,Acremonium,unspecified_saprotroph,0,foliar_endophyte,"leaf/fruit/seed,soil,dung,animal_material",0,filamentous_mycelium,0,0
OTU_1192,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Hyaloscypha,litter_saprotroph,wood_saprotroph,0,"wood,leaf/fruit/seed",non-aquatic,filamentous_mycelium,apothecium_(hymenium_on_surface),smooth
OTU_1236,Fungi,Ascomycota,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_1244,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_1350,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_1357,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,unspecified_saprotroph,0,foliar_endophyte,"leaf/fruit/seed,soil,dung,animal_material",partly_aquatic,filamentous_mycelium,0,0
OTU_1364,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_1374,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_1397,Fungi,Ascomycota,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
