OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	High_level_taxonomy	HL_hit_percent_id	HL_hit_query_cover
OTU_835	Fungi	Ascomycota	Lecanoromycetes	Acarosporales	Acarosporaceae	Polysporina	Polysporina simplex	Fungi	98.104	94
OTU_2086	Fungi	Ascomycota	Dothideomycetes	Acrospermales	Acrospermaceae	Acrospermum		Fungi	89.427	100
OTU_2469	Fungi	Ascomycota	Dothideomycetes	Acrospermales	Acrospermaceae	Acrospermum		Fungi	90.393	100
OTU_176	Fungi	Ascomycota	Dothideomycetes	Acrospermales	Acrospermaceae	Oomyces	Oomyces carneoalbus	Fungi	96.757	81
OTU_2044	Fungi	Ascomycota	Dothideomycetes	Acrospermales	Acrospermaceae	Oomyces		Fungi	95.676	81
OTU_1994	Fungi	Ascomycota	Dothideomycetes	Acrospermales				Fungi	97.814	81
OTU_840	Fungi	Ascomycota	Sordariomycetes	Amphisphaeriales	Pestalotiopsidaceae	Neopestalotiopsis		Fungi	100	100
OTU_463	Fungi	Ascomycota	Sordariomycetes	Amphisphaeriales	Pestalotiopsidaceae	Pestalotiopsis	Pestalotiopsis lijiangensis	Fungi	98.222	100
OTU_1065	Fungi	Ascomycota	Sordariomycetes	Amphisphaeriales	Pestalotiopsidaceae	Pestalotiopsis	Pestalotiopsis novae-hollandiae	Fungi	98.206	99
OTU_537	Fungi	Ascomycota	Sordariomycetes	Amphisphaeriales	Pestalotiopsidaceae	Pestalotiopsis		Fungi	97.309	99
OTU_1177	Fungi	Ascomycota	Dothideomycetes	Bezerromycetales	Bezerromycetaceae	Bezerromyces		Fungi	96.635	92
OTU_2438	Fungi	Ascomycota	Dothideomycetes	Bezerromycetales	Bezerromycetaceae	Bezerromyces		Fungi	95.109	81
OTU_54	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Botryosphaeria	Botryosphaeria dothidea	Fungi	99.065	95
OTU_3124	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Botryosphaeria	Botryosphaeria dothidea	Fungi	88.793	100
OTU_2670	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Diplodia	Diplodia corticola	Fungi	99.531	95
OTU_474	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Diplodia		Fungi	95.154	100
OTU_1342	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Dothiorella		Fungi	98.598	95
