#SampleID	Date	Week	Year	Location	Tissue	Replicate	Sample_or_Control	Run	Product	Stage	Fortnight	Name	SiteYear
Sample1	5.2.20	1	2020	PLP	Bud	2	True Sample	Run1	Fruit	Prebloom	1	5-2-20-BP-2	PLP20
Sample2	5.2.20	1	2020	PLP	Bud	3	True Sample	Run1	Fruit	Prebloom	1	5-2-20-BP-3	PLP20
Sample3	5.2.20	1	2020	PLP	Bud	4	True Sample	Run1	Fruit	Prebloom	1	5-2-20-BP-4	PLP20
Sample4	5.2.20	1	2020	PLP	Stem	1	True Sample	Run1	Stem	Prebloom	1	5-2-20-SP-1	PLP20
Sample5	5.2.20	1	2020	PLP	Stem	2	True Sample	Run1	Stem	Prebloom	1	5-2-20-SP-2	PLP20
Sample6	5.2.20	1	2020	PLP	Stem	4	True Sample	Run1	Stem	Prebloom	1	5-2-20-SP-4	PLP20
Sample7	5.4.20	1	2020	SWMREC	Bud	1	True Sample	Run1	Fruit	Prebloom	1	5-4-20-BM-1	SWMREC
Sample8	5.4.20	1	2020	SWMREC	Bud	2	True Sample	Run1	Fruit	Prebloom	1	5-4-20-BM-2	SWMREC
Sample9	5.4.20	1	2020	SWMREC	Bud	3	True Sample	Run1	Fruit	Prebloom	1	5-4-20-BM-3	SWMREC
Sample10	5.4.20	1	2020	SWMREC	Bud	4	True Sample	Run1	Fruit	Prebloom	1	5-4-20-BM-4	SWMREC
Sample11	5.4.20	1	2020	SWMREC	Stem	1	True Sample	Run2	Stem	Prebloom	1	5-4-20-SM-1	SWMREC
Sample12	5.4.20	1	2020	SWMREC	Stem	2	True Sample	Run2	Stem	Prebloom	1	5-4-20-SM-2	SWMREC
Sample13	5.4.20	1	2020	SWMREC	Stem	3	True Sample	Run2	Stem	Prebloom	1	5-4-20-SM-3	SWMREC
Sample14	5.4.20	1	2020	SWMREC	Stem	4	True Sample	Run2	Stem	Prebloom	1	5-4-20-SM-4	SWMREC
Sample15	5.6.21	1	2021	PLP	Bud	1	True Sample	Run2	Fruit	Prebloom	1	5-6-21-BP-1	PLP21
Sample16	5.6.21	1	2021	PLP	Bud	2	True Sample	Run2	Fruit	Prebloom	1	5-6-21-BP-2	PLP21
Sample17	5.6.21	1	2021	PLP	Bud	3	True Sample	Run2	Fruit	Prebloom	1	5-6-21-BP-3	PLP21
Sample18	5.6.21	1	2021	PLP	Bud	4	True Sample	Run2	Fruit	Prebloom	1	5-6-21-BP-4	PLP21
Sample19	5.6.21	1	2021	PLP	Stem	1	True Sample	Run2	Stem	Prebloom	1	5-6-21-SP-1	PLP21
Sample20	5.6.21	1	2021	PLP	Stem	2	True Sample	Run2	Stem	Prebloom	1	5-6-21-SP-2	PLP21
Sample21	5.6.21	1	2021	PLP	Stem	3	True Sample	Run2	Stem	Prebloom	1	5-6-21-SP-3	PLP21
Sample22	5.6.21	1	2021	PLP	Stem	4	True Sample	Run2	Stem	Prebloom	1	5-6-21-SP-4	PLP21
Sample23	5.11.20	2	2020	SWMREC	Bud	1	True Sample	Run1	Fruit	Prebloom	1	5-11-20-BM-1	SWMREC
Sample24	5.11.20	2	2020	SWMREC	Bud	2	True Sample	Run1	Fruit	Prebloom	1	5-11-20-BM-2	SWMREC
Sample25	5.11.20	2	2020	SWMREC	Bud	3	True Sample	Run1	Fruit	Prebloom	1	5-11-20-BM-3	SWMREC
Sample26	5.11.20	2	2020	SWMREC	Bud	4	True Sample	Run1	Fruit	Prebloom	1	5-11-20-BM-4	SWMREC
Sample27	5.11.20	2	2020	SWMREC	Leaf	1	True Sample	Run2	Leaf	Prebloom	1	5-11-20-LM-1	SWMREC
Sample28	5.11.20	2	2020	SWMREC	Leaf	2	True Sample	Run2	Leaf	Prebloom	1	5-11-20-LM-2	SWMREC
Sample29	5.11.20	2	2020	SWMREC	Leaf	4	True Sample	Run2	Leaf	Prebloom	1	5-11-20-LM-4	SWMREC
Sample30	5.11.20	2	2020	SWMREC	Stem	1	True Sample	Run2	Stem	Prebloom	1	5-11-20-SM-1	SWMREC
Sample31	5.11.20	2	2020	SWMREC	Stem	2	True Sample	Run2	Stem	Prebloom	1	5-11-20-SM-2	SWMREC
Sample32	5.11.20	2	2020	SWMREC	Stem	3	True Sample	Run2	Stem	Prebloom	1	5-11-20-SM-3	SWMREC
Sample33	5.11.20	2	2020	SWMREC	Stem	4	True Sample	Run2	Stem	Prebloom	1	5-11-20-SM-4	SWMREC
Sample34	5.13.21	2	2021	PLP	Bud	1	True Sample	Run2	Fruit	Prebloom	1	5-13-21-BP-1	PLP21
Sample35	5.13.21	2	2021	PLP	Bud	2	True Sample	Run2	Fruit	Prebloom	1	5-13-21-BP-2	PLP21
Sample36	5.13.21	2	2021	PLP	Bud	3	True Sample	Run2	Fruit	Prebloom	1	5-13-21-BP-3	PLP21
Sample37	5.13.21	2	2021	PLP	Bud	4	True Sample	Run2	Fruit	Prebloom	1	5-13-21-BP-4	PLP21
Sample38	5.13.21	2	2021	PLP	Stem	1	True Sample	Run2	Stem	Prebloom	1	5-13-21-SP-1	PLP21
Sample39	5.13.21	2	2021	PLP	Stem	2	True Sample	Run2	Stem	Prebloom	1	5-13-21-SP-2	PLP21
Sample40	5.13.21	2	2021	PLP	Stem	3	True Sample	Run2	Stem	Prebloom	1	5-13-21-SP-3	PLP21
Sample41	5.13.21	2	2021	PLP	Stem	4	True Sample	Run2	Stem	Prebloom	1	5-13-21-SP-4	PLP21
Sample42	5.16.20	3	2020	PLP	Bud	1	True Sample	Run2	Fruit	Prebloom	2	5-16-20-BP-1	PLP20
Sample43	5.16.20	3	2020	PLP	Bud	2	True Sample	Run2	Fruit	Prebloom	2	5-16-20-BP-2	PLP20
Sample44	5.16.20	3	2020	PLP	Bud	3	True Sample	Run2	Fruit	Prebloom	2	5-16-20-BP-3	PLP20
Sample45	5.16.20	3	2020	PLP	Bud	4	True Sample	Run2	Fruit	Prebloom	2	5-16-20-BP-4	PLP20
Sample46	5.16.20	3	2020	PLP	Stem	1	True Sample	Run2	Stem	Bloom	2	5-16-20-SP-1	PLP20
Sample47	5.16.20	3	2020	PLP	Stem	2	True Sample	Run2	Stem	Bloom	2	5-16-20-SP-2	PLP20
Sample48	5.16.20	3	2020	PLP	Stem	3	True Sample	Run2	Stem	Bloom	2	5-16-20-SP-3	PLP20
Sample49	5.16.20	3	2020	PLP	Stem	4	True Sample	Run2	Stem	Bloom	2	5-16-20-SP-4	PLP20
Sample50	5.18.20	3	2020	SWMREC	Bud	1	True Sample	Run1	Fruit	Prebloom	2	5-18-20-BM-1	SWMREC
Sample51	5.18.20	3	2020	SWMREC	Bud	2	True Sample	Run1	Fruit	Prebloom	2	5-18-20-BM-2	SWMREC
Sample52	5.18.20	3	2020	SWMREC	Bud	3	True Sample	Run1	Fruit	Prebloom	2	5-18-20-BM-3	SWMREC
Sample53	5.18.20	3	2020	SWMREC	Bud	4	True Sample	Run1	Fruit	Prebloom	2	5-18-20-BM-4	SWMREC
Sample54	5.18.20	3	2020	SWMREC	Flower	1	True Sample	Run1	Fruit	Bloom	2	5-18-20-FM-1	SWMREC
