#OTU ID	Sample103	Sample104	Sample100	Sample101	Sample105	Sample106	Sample107	Sample108	Sample109	Sample10	Sample110	Sample111	Sample112	Sample113	Sample114	Sample115	Sample116	Sample117	Sample118	Sample119	Sample11	Sample120	Sample121	Sample122	Sample123	Sample124	Sample125	Sample126	Sample127	Sample128	Sample129	Sample12	Sample130	Sample131	Sample132	Sample133	Sample134	Sample135	Sample136	Sample137	Sample138	Sample139	Sample13	Sample140	Sample141	Sample142	Sample143	Sample144	Sample145	Sample147	Sample146	Sample148	Sample149	Sample14	Sample150	Sample151	Sample152	Sample153	Sample154	Sample155	Sample156	Sample157	Sample158	Sample159	Sample15	Sample160	Sample161	Sample162	Sample163	Sample164	Sample165	Sample166	Sample167	Sample168	Sample169	Sample16	Sample170	Sample171	Sample172	Sample173	Sample174	Sample175	Sample176	Sample177	Sample178	Sample179	Sample17	Sample180	Sample181	Sample182	Sample183	Sample184	Sample185	Sample186	Sample187	Sample188	Sample189	Sample18	Sample190	Sample191	Sample192	Sample193	Sample194	Sample195	Sample196	Sample197	Sample198	Sample199	Sample19	Sample1	Sample200	Sample201	Sample202	Sample203	Sample204	Sample205	Sample206	Sample207	Sample208	Sample209	Sample20	Sample210	Sample211	Sample212	Sample213	Sample214	Sample215	Sample216	Sample217	Sample218	Sample219	Sample21	Sample220	Sample221	Sample222	Sample223	Sample224	Sample225	Sample226	Sample227	Sample228	Sample229	Sample22	Sample230	Sample231	Sample232	Sample233	Sample234	Sample235	Sample236	Sample237	Sample238	Sample239	Sample23	Sample240	Sample241	Sample242	Sample243	Sample244	Sample245	Sample246	Sample247	Sample248	Sample249	Sample24	Sample250	Sample251	Sample252	Sample253	Sample254	Sample255	Sample256	Sample257	Sample258	Sample259	Sample25	Sample260	Sample261	Sample262	Sample263	Sample264	Sample265	Sample266	Sample267	Sample268	Sample269	Sample26	Sample270	Sample271	Sample272	Sample273	Sample274	Sample275	Sample276	Sample277	Sample278	Sample279	Sample27	Sample280	Sample281	Sample282	Sample283	Sample284	Sample285	Sample286	Sample287	Sample288	Sample289	Sample28	Sample290	Sample291	Sample292	Sample294	Sample293	Sample295	Sample296	Sample297	Sample298	Sample299	Sample29	Sample2	Sample300	Sample301	Sample302	Sample303	Sample304	Sample305	Sample306	Sample307	Sample308	Sample309	Sample30	Sample310	Sample311	Sample312	Sample313	Sample314	Sample315	Sample316	Sample317	Sample318	Sample319	Sample31	Sample320	Sample321	Sample322	Sample323	Sample324	Sample325	Sample326	Sample327	Sample328	Sample329	Sample32	Sample330	Sample331	Sample332	Sample333	Sample334	Sample335	Sample336	Sample337	Sample338	Sample339	Sample33	Sample340	Sample341	Sample342	Sample343	Sample344	Sample345	Sample346	Sample347	Sample348	Sample349	Sample34	Sample350	Sample351	Sample352	Sample353	Sample354	Sample355	Sample356	Sample357	Sample358	Sample359	Sample35	Sample360	Sample361	Sample362	Sample363	Sample364	Sample365	Sample366	Sample367	Sample368	Sample369	Sample36	Sample370	Sample371	Sample372	Sample373	Sample374	Sample375	Sample376	Sample377	Sample378	Sample379	Sample37	Sample380	Sample381	Sample382	Sample383	Sample384	Sample385	Sample386	Sample387	Sample388	Sample389	Sample38	Sample390	Sample391	Sample392	Sample393	Sample39	Sample40	Sample41	Sample42	Sample43	Sample44	Sample45	Sample46	Sample47	Sample48	Sample49	Sample4	Sample50	Sample51	Sample52	Sample53	Sample54	Sample55	Sample56	Sample57	Sample58	Sample59	Sample60	Sample5	Sample61	Sample62	Sample63	Sample64	Sample65	Sample66	Sample67	Sample68	Sample69	Sample6	Sample70	Sample71	Sample72	Sample73	Sample74	Sample75	Sample76	Sample77	Sample78	Sample79	Sample7	Sample80	Sample81	Sample83	Sample84	Sample85	Sample86	Sample87	Sample88	Sample89	Sample8	Sample90	Sample91	Sample92	Sample93	Sample94	Sample95	Sample96	Sample97	Sample98	Sample99	Sample9
OTU_3	1	422	1	0	3944	437	2149	2396	16030	15175	13178	9866	145	416	367	102	1756	1836	6854	1	2653	2691	2682	15754	784	200	806	21	14295	29899	4598	1719	53613	690	33109	11521	567	11648	19	698	484	1810	180	550	3	1083	18474	1589	21673	6284	0	24765	11890	119	8065	1076	632	218	204	2013	4096	2081	2537	5056	14340	3247	4370	23305	297	1963	229	134	26846	48487	41478	22549	47519	27477	3520	34082	22412	13001	21390	3292	418	2	11193	292	1136	1244	15121	5381	384	47119	10203	10379	4822	5381	6246	8553	30090	5997	9489	19259	10333	37551	12923	0	2356	0	0	0	0	1070	9525	2498	3041	38362	14836	16526	4061	29805	953	52	2003	23635	341	168	716	2359	9655	13	9532	26752	8290	3431	1639	1946	3449	1632	12218	2674	0	2155	16330	2457	1	22537	280	1	652	0	12800	1	4504	1978	25401	681	2506	2323	1448	1950	876	13644	1	6723	1380	1522	346	4315	239	7076	9494	51268	555	516	1125	7251	2072	15254	18806	1938	5222	1037	23909	1613	2147	12760	4764	1360	231	4976	4	1329	0	69	380	0	3109	20	819	247	770	830	526	13153	1	2730	1106	7205	10383	0	4477	0	8801	6153	18967	7652	2386	1	0	34039	29186	8773	74943	4273	126265	0	0	0	0	600	0	8156	1	11093	16477	17927	9647	1955	11435	1931	289	8941	3683	661	742	835	634	11461	2050	0	18568	1094	2971	4972	12180	1537	6339	4879	4467	17199	806	4171	52	8384	5021	15132	7177	62	33064	29240	4133	54965	2239	11299	29911	12944	4651	11292	22798	52323	26496	4087	8553	0	5021	1	44	876	7193	69363	336	293	21237	15380	16387	13340	26480	8710	10991	11947	2402	7248	3212	3814	3377	122	5971	889	610	1873	17814	4295	1279	4760	2	0	0	368	2	5	0	3	0	0	13	116	822	475	1412	12445	5579	3722	0	0	774	252	5344	6028	10	372	2931	10820	1774	2064	2845	0	463	789	192	226	3	1297	2882	5249	540	0	170	951	19884	137	1279	3793	199	2635	886	92	19986	3836	859	0	1248	10231	10111	6843	8397	3819	824	5	3430	2389	683	1	8	1	0	0	23	29206
OTU_5	0	3708	0	0	590	1270	2773	704	3268	4428	3487	1298	285	593	97	406	4863	1231	10492	0	1153	3370	487	2265	295	132	15184	1744	4941	7088	292	592	3433	170	2173	2648	4951	890	0	1	62	278	1076	871	892	691	21673	5629	2115	1066	0	2389	1288	1533	4914	2250	264	330	430	1348	1593	2157	2766	3785	3315	4839	2917	3037	3739	1382	594	3	1661	2145	9935	7242	2885	1826	4212	394	1660	1669	2357	869	86	40	6685	3346	264	351	9892	9654	7894	7823	6679	7731	1481	5122	3884	8174	7162	8996	14528	2300	2315	2920	564	0	2081	0	0	0	1	1832	1055	513	15670	239	4355	4624	2299	14090	0	2	0	767	293	195	241	1	12706	2	3640	8637	10542	9291	1109	912	1818	3495	8616	251	1	14080	2868	889	1041	35292	1	0	728	923	6465	1788	6680	5299	11385	2110	1736	2005	2179	1393	2405	5011	3730	3898	10149	3646	467	3207	109	1661	5195	3150	0	1488	1	1011	738	2403	4474	803	6076	582	1829	1565	1911	2229	236	3630	184	1218	2	126	0	0	123	0	85	2	470	218	751	885	931	6285	1	2026	3700	3158	2889	0	2641	0	7404	7107	5461	15972	2398	0	0	13710	8777	332	65662	10192	6755	1	0	0	0	153	0	3165	94	0	32882	6965	475	1363	4751	5038	131	6321	6524	4251	14604	16725	4189	3472	7194	0	478	204	1459	4179	4518	1070	5809	4921	1300	3309	1	8722	156	5038	8945	2889	1777	11	5682	3687	1397	806	4563	4540	20526	1868	14515	14975	4496	18199	12009	31516	876	3366	4083	2057	232	1837	6576	4833	6	170	20475	5109	20388	7393	6288	1199	13108	5687	2447	8491	2262	8470	29068	1048	6589	679	510	4171	22872	5767	11035	2276	0	0	0	8	1	1	0	3	0	0	0	531	222	263	285	23072	1230	5661	0	0	120	207	4218	3466	183	807	666	1516	1414	1169	711	0	693	5246	3727	333	645	341	738	2240	187	0	171	1572	12683	23	760	1074	68	752	457	128	1	766	610	1	4963	5009	3626	6893	511	2390	3	979	4467	270	306	204	908	108	0	89	251	1247
OTU_63	1	0	0	0	0	719	0	0	28	0	0	53	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	15	0	2	0	0	0	0	0	0	0	477	14	28	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	1505	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	23	0	0	0	3	4	0	0	9	0	0	0	0	0	2616	0	0	503	0	0	0	0	6	0	6	286	143	43	9	10	38	79	49	248	0	769	933	0	67	17	0	0	212	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2225	0	107	0	107	2798	0	274	0	709	126	51	0	0	0	0	0	1	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	104	270	0	212	0	19	0	0	0	0	0	0	0	0	61	25	10	143	676	0	45	1	0	0	0	0	0	0	0	32	0	0	0	0	0	48	0	0	0	0	145	2451	0	0	0	0	24	0	0	0	0	0	0	0	0	6542	0	26	0	0	0	142	0	0	0	0	0	0	117	0	1	0	39	11	0	10	0	0	0	0	0	0	0	0	0	0	0	1448	950	2080	1776	0	0	65	0	0	0	0	0	0	0	0	0	935	153	0	193	0	160	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	493	161	722	818	57	115	0	155	1207	0	0	0	255	0	0	0	0	0
OTU_1	1	9227	0	0	8337	7556	16070	1192	6271	8422	8462	5509	181	172	146	229	109272	40628	168182	5512	3	63990	49672	159766	39319	5503	11115	6412	15508	61046	4710	785	85682	5538	71750	43180	8800	42340	805	6006	4154	2595	138	17879	14444	8165	17650	12766	5451	4385	0	12780	6610	245	52974	250	234	200	189	23752	16668	16326	13331	63890	26498	72675	73392	73404	15144	15427	3361	4728	1683	9036	3322	23776	2956	4395	5251	2294	14343	9449	9418	7301	1238	2	33331	46	159	127	25619	73254	48955	41951	30498	101136	28250	30125	53705	197259	225644	113494	169490	53073	137573	72596	16471	1	4984	2	2518	2541	137	5921	26233	2917	17135	7827	20	439	2380	4778	643	2	645	569	126	3	176	202	228331	1368	30715	90849	88147	77682	48690	9085	33215	72781	112985	11144	1253	97191	19482	7878	4481	31467	5295	5988	6034	4141	123920	4051	58673	68197	121628	13273	30830	23127	13806	28792	12183	134001	6205	79346	60414	33379	7247	20985	252	5717	14424	10816	6271	7699	8412	7101	3447	583	1785	1317	2790	108	211	434	4765	418	86	14	11	468	1	683	321	348	322	0	12	55	15	3376	7207	9208	11707	54368	5	5420	8356	51719	24482	0	52106	0	125801	77315	37732	16250	2997	1	2	69971	2820	4373	16719	4330	5123	17	124	367	24	128	837	7941	330	191	25148	6743	5598	1071	11790	13131	733	16455	7978	1920	1869	901	706	5379	5234	6	787	168	16919	50628	47438	25463	32842	24062	13361	59798	12486	4523	244	12814	5093	4634	6427	51	20240	26944	7438	3665	4561	29369	16112	4551	3207	8016	4247	17372	28063	35903	26043	2044	29915	1127	776	514	5067	30964	234	410	14703	65947	4602	62703	16749	4224	5929	5433	1351	11109	1607	11914	22183	357	38927	909	2021	6730	12464	7666	2094	3918	105	160	1	914	9	222	0	113	1231	504	207	5460	2810	8864	1807	12399	975	2337	0	0	1496	4849	12255	12286	5429	6634	3647	20023	5157	5089	4407	1	5000	1217	182	540	4505	8534	20747	16084	4593	0	4245	33123	51899	7271	8807	18708	1896	6090	2274	811	8969	2752	4056	1	25395	57529	80547	79471	13577	68171	515	45625	99156	7938	3823	20656	21696	404	0	1095	943	13113
OTU_74	0	29600	0	0	0	0	0	43	70	0	49	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	88	0	0	0	36	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	32	172	0	0	0	0	0	0	4	63	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330	0	0	0	35	0	0	0	0	0	0	1	44	0	0	3	0	0	0	0	0	0	0	585	0	0	0	0	0	0	25	1	0	0	0	0	0	0	0	2	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1289	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	58	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	30	7	0	12	0	0	0	0	0	0	0	0	242	0	0	0	310	1	0	0	0	0	0	0	0	0	0	0	0	0	0	629	0	0	315	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	13	0	0	0	0	0	43	0	0	0	0	0	0	0	298	0	0	0	0	0	0
OTU_45	0	0	0	1	0	0	0	1	0	921	0	0	1	0	0	0	0	369	0	0	0	1	0	0	0	163	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2966	0	0	0	0	0	0	1	0	38	19	0	0	0	58	380	76	1	38	0	0	0	0	811	2	1780	0	0	0	0	418	0	0	0	0	0	0	0	0	0	0	5147	0	0	0	222	2	0	151	105	44	65	183	0	87	1	17	48	0	0	0	0	0	0	0	0	0	0	2	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1444	199	336	220	0	12	48	3	0	26	0	1	1	0	0	0	0	0	0	239	175	0	0	1	59	624	124	0	29	0	0	0	236	1	2129	0	0	0	0	0	3	0	0	0	0	0	0	216	0	134	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	293	0	0	0	0	300	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	48	19	392	0	0	0	0	0	0	1519	0	65	28	0	0	0	0	2	0	69	15	1	0	0	0	0	164	0	0	1194	1	195	5982	0	473	0	0	10653	0	0	19	0	0	0	53	0	0	0	12217	264	21	66	353	0	0	177	2626	1002	0	281	349	1	53	29	1482	101	168	115	0	1312	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0	558	0	0	0	1	0	0	0	0	0	0	0	0	0	32	221	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	238	1473	438	0	104	8	0	0	159	0	0	0	0	0	0	0	1038	0
OTU_2	0	2476	0	2	3002	1828	6134	879	5186	15522	8745	4642	145	670	684	122	6107	3867	28540	152	1679	2705	1173	9991	3086	2732	18520	2055	3894	22295	19214	577	9799	763	21829	4121	3786	5574	3	1034	1	1155	718	768	2340	4491	36831	56852	2062	6234	0	22793	12594	896	26855	812	529	261	162	32540	6492	6272	1941	96225	10195	19095	15701	62280	11847	4785	1148	651	72408	98593	53205	21258	87419	53055	46444	30314	89457	49845	18684	7954	1408	1674	10308	27319	4567	3034	11819	26531	23642	25392	16994	53911	23638	15536	31589	33909	26835	31823	50172	17220	4444	9711	2289	102	244	1	1	1314	29	1781	3742	10990	3721	41394	44812	45505	157	43320	1798	105	1558	14225	15439	2665	11479	11686	51513	788	32773	57116	96043	20527	14130	3683	21493	13663	103525	3355	371	29509	107429	3200	3145	625	753	2411	564	1963	16330	4684	27164	17903	57875	7650	6092	7382	5798	3235	4602	59398	1883	24982	56982	20312	6000	26388	858	7857	27292	31848	1810	4847	1513	10553	4567	8431	8330	3053	74278	117787	132644	46375	3818	26405	13753	75969	16225	112551	33	6402	663	1552	7581	0	7472	10270	2512	2143	2723	13020	4039	20744	6	29876	2264	15401	18547	1	18295	0	27722	53683	63261	40854	8789	0	0	38920	10815	18176	6038	11600	66371	8	165	0	177	499	142	14724	4888	3354	12763	61106	5108	2675	28647	14355	127	31779	9926	3440	9396	50716	21809	36804	26735	1	6646	528	20007	25023	20481	5835	16160	17393	7583	28746	1062	8814	121	21488	14740	15081	6443	23	23214	44905	7334	33506	9433	11754	62212	10417	9819	28821	13568	25172	19813	61724	23967	418	8380	1	152	3182	30450	14076	3237	724	64633	26984	89982	21421	23388	12447	6970	11300	14301	17955	1252	20558	24245	164	10096	14037	13925	27552	12229	8288	7268	15337	0	1	0	346	2	7	0	38	279	0	150	2777	1777	1992	838	810	9218	5959	0	3	772	2436	10961	6392	1607	1203	2200	2395	3781	1502	3309	0	899	2345	2988	1407	2659	3340	7047	12274	2642	1	1727	2060	5878	770	3523	4751	425	991	712	4598	4496	1640	1176	2	6353	11458	23550	20335	26212	10208	2198	16128	28501	9254	1363	540	5130	224	0	784	459	10111
OTU_32	0	326	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	166	2844	26	0	0	0	66	0	1	0	185	0	0	794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2267	0	0	0	31	0	1	2	0	276	0	0	0	0	0	607	0	0	60	1	14	117	1	160	1	0	0	0	1	0	0	0	0	0	0	0	2	30	0	1	0	1	0	0	0	9221	47	0	0	16042	1	18875	658	71	486	19	73	1117	0	0	0	271	0	0	0	0	0	0	51	55	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480	0	0	505	40	394	1	0	24	78	321	2	0	126	3413	3	0	0	0	0	0	0	39	0	1425	0	4481	1	0	12	894	29	0	0	0	0	0	0	0	69	0	0	0	1	0	1	0	0	0	0	1	99	117	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	271	0	0	0	1	0	8	4	12	0	0	99	0	0	192	0	394	0	0	0	19807	3632	0	1	0	2692	0	0	0	1	0	0	476	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	7	0	0	36	308	0	0	0	0	220	0	0	0	0	0	1	0	0	0	672	0	0	0	0	1543	114	31	6	934	2	452	0	11349	0	16	0	0	1	395	0	0	0	60	52	459	24	40	25	1	209	1	209	0	187	40	0	35	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	296	987	0	0	0	103	0	0	0	0	0	1	0	0	0	0	1	1	2	0	0	0	1	0	0	0	1	0	0	0	0	1	1	2	144	0	0	0	0	0	0	1	0	0	0	0	135	96	0	0	0	0	122	0	0	0	2004	0	0	0	0	1
OTU_50	0	939	0	0	0	0	0	72	249	1618	363	50	63	287	37	89	0	41	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1832	0	0	359	6	0	0	0	0	128	828	57	77	139	580	140	80	1	203	0	51	0	128	632	0	75	0	0	1	0	0	909	1948	0	1230	0	1	0	0	0	56	2136	0	0	0	1474	162	5728	0	1805	285	6186	1	1	559	54	108	132	605	0	956	0	0	0	0	0	1	0	1679	1304	1103	539	0	501	0	384	0	0	0	0	0	225	0	0	0	313	0	0	1788	1102	4325	0	35	111	316	281	0	286	1002	0	0	149	0	0	0	0	0	1	675	73	9	833	182	23	366	111	0	0	68	0	273	708	1917	0	0	0	0	5084	1	0	0	0	0	0	71	0	547	0	0	0	0	0	0	2	1267	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	80	0	539	2	4112	22	0	15	0	942	1096	27	0	0	0	0	0	0	0	72	0	0	0	0	1	0	0	0	105	163	0	0	0	1	14	0	0	0	0	0	0	69	20	22	364	0	0	0	7	29	199	121	0	190	1	0	0	0	1307	10	0	87	0	141	0	0	127	0	0	673	2838	162	34	70	279	41	0	1	117	945	0	56	0	0	0	445	0	147	0	6601	3331	35	67	422	0	1	0	2461	0	0	0	97	2	41	192	53	48	252	42	0	16	0	0	0	0	0	0	0	0	0	0	0	466	354	0	150	0	708	13	0	0	78	0	2350	0	0	0	0	0	0	0	1	0	0	14	5	0	0	0	216	600	0	0	0	0	0	0	0	487	0	0	12	0	2941	77	0	0	213	536	477	127	329	520	1000	1343	0	0	0	0	0	0	0	0	0	0
OTU_39	0	1022	0	0	0	0	5049	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	294	0	0	90	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	15	0	1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	32	0	0	0	1	2	0	13	0	0	0	1	1	0	0	1	0	0	0	0	397	338	0	2	0	25696	0	15	1	0	0	0	0	0	0	0	365	0	0	0	0	1	0	0	0	0	0	1872	0	0	310	0	0	0	0	0	785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2527	1	0	0	0	0	200	142	0	0	16	0	0	50	22	1	369	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2684	0	0	0	0	0	0	1305	0	0	0	0	0	1	0	0	0	0	0	16	3	0	0	19	1	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	1	0	0	0	0	0	0	0	0	17	3	0	11	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	17930	929	0	554	14733	0	11	128	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	430	0	0	37	127	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
